title,link
PM-KISAN has been successful in its objective to provide financial support to farmers without any involvement of middlemen: PM Modi,https://www.narendramodi.in/text-of-pm-s-address-at-the-launch-of-financing-facility-under-agriculture-infrastructure-fund-via-vc
The whole world is coming forward to adopt the values and principles of Mahatma Gandhi: PM,https://www.narendramodi.in/text-of-prime-minister-narendra-modi-s-address-at-inauguration-of-rashtriya-swachhata-kendra
National Education Policy shifts focus from ‘what to think’ to ‘how to think’: PM Modi,https://www.narendramodi.in/text-of-prime-minister-narendra-modi-s-speech-at-higher-education-conclave
Ram belongs to everyone; Ram is within everyone: PM Modi in Ayodhya,https://www.narendramodi.in/text-of-prime-minister-narendra-modi-s-speech-at-bhoomi-pujan-ceremony-of-shree-ram-janmabhoomi-mandir-in-ayodhya-uttar-pradesh
PM Modi addresses Smart India Hackathon via video conferencing,https://www.narendramodi.in/pm-modi-addresses-smart-india-hackathon-via-video-conferencing
"India is making development partnerships that are marked by respect, diversity, care for the future & sustainable development: PM",https://www.narendramodi.in/text-of-prime-minister-narendra-modi-s-address-at-the-inauguration-of-the-new-supreme-court-building-in-mauritius-
PM Modi's message at International Thermonuclear Experimental Reactor at the start of ITER Assembly,https://www.narendramodi.in/pm-s-speech-at-international-thermonuclear-experimental-reactor-iter-at-the-start-of-iter-assembly
"Wearing masks, social distancing and hand sanitization only way to defeat Coronavirus: PM Modi",https://www.narendramodi.in/prime-minister-narendra-modis-address-at-the-launch-of-high-throughput-covid-19-testing-facilities-at-3-icmr-labs
"During Kargil War, Indian Army showed its might to the world: PM Modi during Mann Ki Baat",https://www.narendramodi.in/prime-minister-narendra-modi-s-mann-ki-baat-with-nation-july-2020
Northeast has potential to become India's growth engine: PM Modi,https://www.narendramodi.in/text-of-pm-s-address-at-laying-of-foundation-stone-of-manipur-water-supply-project
There has never been a better time to invest in India: PM Modi,https://www.narendramodi.in/prime-minister-narendra-modi-s-address-at-india-ideas-summit-2020
India firmly believes that path to achieve sustainable peace & prosperity is through multilateralism: PM,https://www.narendramodi.in/pm-s-address-in-ecosoc-commemoration-of-uns-75th-anniversary
15th India-EU (Virtual) Summit: Opening Remarks By Prime Minister Sh. Narendra Modi,https://www.narendramodi.in/15th-india-eu-virtual-summit-opening-remarks-by-prime-minister-sh-narendra-modi
"Skill, reskill and upskill in order to remain relevant in the rapidly changing environment: PM",https://www.narendramodi.in/prime-minister-narendra-modi-s-text-of-speech-on-the-occasion-of-world-youth-skills-day
"Solar energy is pure, sure and secure: PM Modi",https://www.narendramodi.in/text-of-pm-s-address-at-the-dedication-of-750-mw-rewa-solar-project-to-the-nation
Indians have the spirit to achieve what is believed to be impossible: PM Modi,https://www.narendramodi.in/text-of-pm-s-inaugural-address-at-india-global-week-2020
"Efforts are being made to alleviate various hardships being faced by craftsmen, traders and businessmen of Varanasi: PM",https://www.narendramodi.in/text-of-prime-minister-narendra-modi-s-interaction-with-representatives-of-varanasi-based-ngos
"For us, our organisation means service: PM Modi at 'Seva Hi Sangathan' interaction",https://www.narendramodi.in/pm-modi-s-speech-at-bjp-s-seva-hi-sangathan-programme-delhi-via-vc
Lasting solutions can come from the ideals of Lord Buddha: PM Modi,https://www.narendramodi.in/text-of-prime-minister-narendra-modi-s-address-on-the-occasion-of-dharma-chakra-day
PM’s interaction with injured soldiers at Leh Hospital,https://www.narendramodi.in/pm-s-interaction-with-injured-soldiers-at-leh-hospital
"Time for expansionism is over, this is the era of development: PM Modi",https://www.narendramodi.in/pm-s-speech-indian-armed-forces-in-leh-india
Govt is able to provide free food grains to the poor and the needy due to our farmers & taxpayers: PM,https://www.narendramodi.in/text-of-prime-minister-narendra-modi-s-address-to-the-nation
India knows how to befriend as well as to give befitting reply: PM Modi during Mann Ki Baat,https://www.narendramodi.in/prime-minister-narendra-modi-s-mann-ki-baat-with-the-nation-june-2020
Call for self-reliant India will ensure economic strength and prosperity for every Indian: PM Modi,https://www.narendramodi.in/pm-modi-s-text-of-speech-at-the-90th-birthday-celebrations-of-reverend-dr-joseph-mar-thoma-metropolitan
Aatmanirbhar Uttar Pradesh Rojgar Abhiyan will boost local entrepreneurship & provide employment opportunities: PM,https://www.narendramodi.in/text-of-pm-s-address-at-the-launch-of-atma-nirbhar-uttar-pradesh-rojgar-abhiyan-via-video-conferencing
"Yoga does not discriminate as it goes beyond race, colour, gender, faith and nations: PM",https://www.narendramodi.in/text-of-pm-s-address-on-the-occasion-of-international-yoga-day-2020
"For Aatmanirbhar Bharat, it is essential for the farmers to be self-reliant: PM",https://www.narendramodi.in/text-of-prime-minister-narendra-modi-s-address-at-the-launch-of-garib-kalyan-rojgar-abhiyaan
"Acharya Mahapragya Ji gave the mantra of healthy individual, healthy society, healthy economy: PM Modi",https://www.narendramodi.in/text-of-pm-s-address-at-birth-centenary-celebrations-of-acharya-mahapragya
India will overcome the COVID-19 pandemic & the nation will turn this crisis into an opportunity: PM,https://www.narendramodi.in/text-of-pm-s-address-at-virtual-launch-of-auctioning-of-coal-mines-for-commercial-mining
PM's initial remarks in the Virtual Conference with Chief Ministers,https://www.narendramodi.in/prime-minister-narendra-modis-initial-remarks-in-the-virtual-conference-with-chief-ministers
